BoroName,NTAName,id,mhinc_70,mhinc_80,mhinc_90,mhinc_00,mhinc_10,pcol_70,pcol_80,pcol_90,pcol_00,pcol_10,70_HINC70,70_MHMVAL7,70_MRENT70,00_MHMVAL0,00_MRENT00,10_mrent0a,10_mhmval0,70_POP70,70_WHITE70,70_BLACK70,80_POP80,80_NHWHT80,80_NHBLK80,80_MHMVAL8,80_MRENT80,90_POP90,90_NHWHT90,90_NHBLK90,90_MHMVAL9,90_MRENT90,00_POP00,00_NHWHT00,00_NHBLK00,10_pop10,10_nhwht10,10_nhblk10
Manhattan,Upper East Side-Carnegie Hill,36061014000,0,31625,69504,97430,154920,44,66,72,84,84,11527.65972,65000,198.6308293,699900,1271,1785,1000001,8099.9999396503,7947.99994078279,69,7842.9999415651,7366,91,213361.998410329,427.999996811152,7731.99994239211,7210.99994627386,41,500000.996274702,861.9999935776,7754,7042,80,7813,6771,153
Manhattan,Yorkville,36061014601,0,14781,40503,60589,89846,24,43,67,74,83,7357.14295,,90,242800,1226,1780,713200,3078.99995411932,2983.99995553494,19,3030.99995483458,2667,49,216666.99677141,279.999995827675,3344.99995015562,2922.99995644391,56,500000.992549405,740.99998895824,3846,3135,72,4274,3249,147
Manhattan,Yorkville,36061014602,0,19959,46393,70370,100410,29,50,64,75,79,8336.653516,,114.1847855,236000,1235,1792,691700,6384.99988107011,6109.99988619238,139,6846.99987246469,5971,196,137499.997438863,339.999993667006,7327.99986350536,6368.99988136813,165,500000.990686756,800.999985080212,8257,6903,189,7904,6353,170
Manhattan,Upper East Side-Carnegie Hill,36061014801,0,28300,73047,90391,144167,48,56,75,80,84,14093.75,,268.75,640100,1325,2001,1000001,2432,2384,24,2451,2208,31,225000,460,3173,2795,50,500001,901,2903,2538,43,2863,2418,46
Manhattan,Upper East Side-Carnegie Hill,36061014802,0,26667,58552,89713,103203,38,59,70,81,84,9048.701381,61250,139,790500,1192,1805,1000001,6022.99993268773,5840.99993472174,80,5998.99993295595,5481,77,134999.998491257,385.999995686114,6161.99993113428,5634.99993702397,88,500000.994412053,812.999990914017,6947,6055,87,7066,5827,114
Manhattan,Lincoln Square,36061015300,0,21133,53912,94583,126701,34,53,67,80,81,8207.407643,,171.169976,441600,1327,2001,1000001,8176.9999390766,7585.9999434799,312,7864.99994140118,6808,290,139999.998956919,397.999997034669,8516.99993654341,7441.99994455278,206,374999.997206032,840.999993734062,9040,7664,200,9320,7615,178
Manhattan,Yorkville,36061015400,0,14756,41733,58761,82000,17,43,58,70,71,6070.776471,,69.89655288,203900,994,1478,593400,6147.9999198392,5829.99992398545,185,10601.9998617657,7936,925,9374.99987776391,282.9999963101,12990.9998306166,10224.9998666812,898,349999.995436519,678.999991146848,13058,9636,890,13749,9580,846
Manhattan,East Harlem North,36061018400,0,6364,12061,14103,27236,1,3,4,5,15,5002.645466,,71.37232914,1000001,265,565,372400,10602.999842003,2644.99996058643,7569,6449.99990388751,33,3689,4999.99992549419,132.999998018146,5728.99991463125,28.9999995678663,2841,0,249.99999627471,6006,88,2571,7835,421,2909
Manhattan,Central Harlem South,36061019000,0,5150,8856,16623,54135,1,5,6,8,43,3399.082434,,58.84169787,275000,373,611,602400,4056.99989420548,244.999993611127,3776,1423.99996286631,5,1342,37499.9990221113,131.999996557832,1908.99995021895,12.9999996609986,1601,112499.997066334,246.999993558973,1818,20,1470,3083,507,1766
Manhattan,Central Harlem South,36061020102,0,6011,12023,23146,37798,2,4,7,21,42,4385.6382,13750,71.21574983,203700,465,861,466300,4829.00003597885,50.000000372529,4761,2404.0000179112,7,2321,35000.0002607703,141.000001050532,2381.00001773983,30.0000002235174,2147,212500.001583248,270.000002011657,3594,153,2592,3865,725,2066
